Product_Key	metier	Prix Unitaire Facture	Date	QTY_STOCK	Qte Commandee Unite
49672	PAT	3.7	19/02/2016 00:00	28800	13200
49672	PAT	2.96	30/03/2016 00:00	28800	13200
63570	VIEN	5.640016	28/01/2016 00:00	53100	10800
63499	VIEN	6.699968	28/01/2016 00:00	80352	10656
48703	BOUL	18.733144000000003	02/02/2016 00:00	9840	10120
48703	BOUL	20.293144	05/01/2016 00:00	9840	9840
63509	VIEN	25.500628	23/03/2016 00:00	72000	9760
49672	PAT	2.2199999999999998	20/01/2016 00:00	28800	9600
49672	PAT	3.7	12/02/2016 00:00	28800	9600
49672	PAT	2.2199999999999998	04/03/2016 00:00	28800	9600
63499	VIEN	5.579968	04/02/2016 00:00	80352	9504
63588	VIEN	6.800222	03/03/2016 00:00	67200	9280
48703	BOUL	18.813144	08/01/2016 00:00	9840	9000
48703	BOUL	15.693144	01/03/2016 00:00	9840	8840
48703	BOUL	14.133143999999998	05/02/2016 00:00	9840	8760
48703	BOUL	21.933144	22/01/2016 00:00	9840	8720
48703	BOUL	20.293144	09/02/2016 00:00	9840	8680
63576	VIEN	20.390324999999994	23/03/2016 00:00	66240	8640
48692	BOUL	12.637700000000002	19/01/2016 00:00	19560	8520
48703	BOUL	18.733144000000003	12/01/2016 00:00	9840	8400
49672	PAT	2.2199999999999998	13/01/2016 00:00	28800	8400
63570	VIEN	4.680016	04/02/2016 00:00	53100	8400
48692	BOUL	11.685400000000001	05/02/2016 00:00	19560	8400
49672	PAT	2.96	05/02/2016 00:00	28800	8400
49672	PAT	2.96	10/02/2016 00:00	28800	8400
49672	PAT	3.7	25/03/2016 00:00	28800	8400
48703	BOUL	14.033143999999998	22/03/2016 00:00	9840	8120
63570	VIEN	5.640016	03/03/2016 00:00	53100	8100
48703	BOUL	21.853144000000004	16/02/2016 00:00	9840	8080
63499	VIEN	4.459968	11/02/2016 00:00	80352	8064
48692	BOUL	14.757700000000003	26/01/2016 00:00	19560	7920
