Jour,Product_ID,Stock,Consommation,Reapprovisionnement
2025-01-01,P001,86,13,9
2025-01-01,P002,80,46,0
2025-01-01,P003,99,24,0
2025-01-01,P004,138,22,23
2025-01-01,P005,245,2,91
2025-01-01,P006,465,38,0
2025-01-01,P007,391,50,0
2025-01-01,P008,461,14,0
2025-01-01,P009,201,9,0
2025-01-01,P010,66,46,5
2025-01-01,P011,458,4,55
2025-01-01,P012,72,30,0
2025-01-01,P013,86,4,79
2025-01-01,P014,300,4,0
2025-01-01,P015,24,18,55
2025-01-01,P016,491,11,94
2025-01-01,P017,44,4,0
2025-01-01,P018,159,11,98
2025-01-01,P019,209,28,34
2025-01-01,P020,333,35,9
2025-01-01,P021,57,24,66
2025-01-01,P022,377,27,0
2025-01-01,P023,354,9,0
2025-01-01,P024,132,13,88
2025-01-01,P025,229,9,0
2025-01-01,P026,170,43,0
2025-01-01,P027,334,16,0
2025-01-01,P028,227,38,0
2025-01-01,P029,117,43,55
2025-01-01,P030,187,16,0
2025-01-01,P031,488,33,0
2025-01-01,P032,488,39,0
2025-01-01,P033,39,17,50
2025-01-01,P034,404,10,0
2025-01-01,P035,93,5,0
2025-01-01,P036,263,49,0
2025-01-01,P037,366,42,0
2025-01-01,P038,121,32,0
2025-01-01,P039,24,20,91
2025-01-01,P040,432,19,56
2025-01-01,P041,449,24,0
2025-01-01,P042,360,33,0
2025-01-01,P043,447,23,0
2025-01-01,P044,342,22,0
2025-01-01,P045,481,40,0
2025-01-01,P046,312,24,0
2025-01-01,P047,284,0,2
2025-01-01,P048,59,13,0
2025-01-01,P049,464,37,78
2025-01-01,P050,21,9,0
2025-01-02,P001,90,47,0
2025-01-02,P002,327,11,98
2025-01-02,P003,317,38,0
2025-01-02,P004,201,48,0
2025-01-02,P005,359,25,90
2025-01-02,P006,26,26,57
2025-01-02,P007,426,22,0
2025-01-02,P008,217,12,0
2025-01-02,P009,211,18,64
2025-01-02,P010,498,23,0
2025-01-02,P011,270,34,62
2025-01-02,P012,90,31,0
2025-01-02,P013,309,38,0
2025-01-02,P014,210,22,0
2025-01-02,P015,146,17,3
2025-01-02,P016,78,32,82
2025-01-02,P017,484,49,0
2025-01-02,P018,364,7,0
2025-01-02,P019,155,24,0
2025-01-02,P020,122,44,62
2025-01-02,P021,212,24,0
2025-01-02,P022,465,23,0
2025-01-02,P023,396,33,0
2025-01-02,P024,153,15,25
2025-01-02,P025,387,1,0
2025-01-02,P026,466,8,40
2025-01-02,P027,166,40,0
2025-01-02,P028,182,25,0
2025-01-02,P029,350,8,100
2025-01-02,P030,151,1,67
